Date,case_nor_03d,case_nor_05d,case_05d,Location,Athens,Circleville,Jackson_Pike,Lancaster,Marietta,Marysville,Newark,Southerly,Zanesville,Average_RNA_Conc,Average_PMMoV,Average_crAssphage,Ave_N2,Flowrate_Sample,Rainfall_24hr,WQ_pH,TAVE,WQ_TSS,Weekday,Sewertype,Population,Medium_Income,Poverty,Cmlt_testing_site,Overall_SVI,Socioeconomic_SVI1,Household_SVI2,Minority_SVI3,Transportation _SVI4
9/20/20,60,54,13,Athens,1,0,0,0,0,0,0,0,0,1.65,1823800,13719000,5117,1582000,0,7.8,22,312,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
9/20/20,7,4,1,Circleville,0,1,0,0,0,0,0,0,0,2.95,986400,51288000,3803,1310000,0,7.8,20.65,230,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
9/20/20,11,11,73,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,2002000,43392000,6357,63800000,0,6.9,22,260,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
9/20/20,8,12,3,Lancaster,0,0,0,1,0,0,0,0,0,2.2,681200,13243000,3392,4000000,0,7.35,19.85,271,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
9/20/20,4,3,0,Marietta,0,0,0,0,1,0,0,0,0,1.35,996800,20128000,4187,1650000,0,7.1,23.5,216,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
9/20/20,12,19,5,Marysville,0,0,0,0,0,1,0,0,0,3.1,524200,18965000,3858,2740000,0,7.755,18.8,180,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
9/20/20,4,4,2,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,3267,6330000,0,7.5,19.2,140,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
9/20/20,9,9,59,Southerly,0,0,0,0,0,0,0,1,0,3.05,3554800,89784000,8907,80000000,0,7,19.65,240,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
9/20/20,14,15,7,Zanesville,0,0,0,0,0,0,0,0,1,2.8,1255272.727,7992727.27,7576,4210000,0,7.654,,204,N,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
9/22/20,60,54,13,Athens,1,0,0,0,0,0,0,0,0,1.65,1823800,13719000,5117,1582000,0,7.8,22,312,Y,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
9/22/20,7,4,1,Circleville,0,1,0,0,0,0,0,0,0,2.95,986400,51288000,3803,1310000,0,7.8,20.65,230,Y,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
9/22/20,14,13,85,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,828080,21502800,7766,66100000,0,6.85,22,183,Y,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
9/22/20,8,12,3,Lancaster,0,0,0,1,0,0,0,0,0,2.2,681200,13243000,3392,4000000,0,7.35,19.85,271,Y,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
9/22/20,4,3,0,Marietta,0,0,0,0,1,0,0,0,0,1.35,996800,20128000,4187,1650000,0,7.1,23.5,216,Y,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
9/22/20,12,19,5,Marysville,0,0,0,0,0,1,0,0,0,3.1,524200,18965000,3858,2740000,0,7.755,18.8,180,Y,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
9/22/20,4,4,2,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,3267,6330000,0,7.5,19.2,140,Y,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
9/22/20,10,9,58,Southerly,0,0,0,0,0,0,0,1,0,3.05,504800,17500000,4000,79900000,0,6.95,19.74,230,Y,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
9/22/20,14,15,7,Zanesville,0,0,0,0,0,0,0,0,1,2.8,1255272.727,7992727.27,7576,4210000,0,7.654,,204,Y,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
9/27/20,50,55,14,Athens,1,0,0,0,0,0,0,0,0,6.95,1816100,39551000,7246,1755000,0,7.8,23.5,300,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
9/27/20,2,3,0,Circleville,0,1,0,0,0,0,0,0,0,9.85,1845620,296422000,1415,1360000,0,7.67,20.7,186,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
9/27/20,12,12,79,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,1114000,111200000,2133,64200000,0,6.9,22,231,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
9/27/20,8,12,3,Lancaster,0,0,0,1,0,0,0,0,0,2.2,681200,13243000,3392,4000000,0,7.35,19.85,271,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
9/27/20,0,0,0,Marietta,0,0,0,0,1,0,0,0,0,5.1,1502900,96025800,2677,1593000,0,7.1,23,136,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
9/27/20,15,23,6,Marysville,0,0,0,0,0,1,0,0,0,6.7,1917700,222419000,10595,2420000,0,7.69,20.45,170,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
9/27/20,6,5,2,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,2817,5850000,0,8,19.35,148,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
9/27/20,8,9,59,Southerly,0,0,0,0,0,0,0,1,0,3.05,708000,54380000,1467,79900000,0,6.9,19.89,216,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
9/27/20,24,22,11,Zanesville,0,0,0,0,0,0,0,0,1,4.5,3026000,62280000,3450,3200000,0,7.7,,244,N,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
9/29/20,50,55,14,Athens,1,0,0,0,0,0,0,0,0,6.95,1816100,39551000,7246,1755000,0,7.8,23.5,300,Y,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
9/29/20,2,3,0,Circleville,0,1,0,0,0,0,0,0,0,9.85,1845620,296422000,1415,1360000,0,7.67,20.7,186,Y,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
9/29/20,15,13,84,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,2767900,63772700,11845,77600000,1.07,7.05,22,144,Y,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
9/29/20,14,23,6,Lancaster,0,0,0,1,0,0,0,0,0,3.3,2104000,18280000,933,4500000,0.48,7.1,20.85,291,Y,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
9/29/20,0,0,0,Marietta,0,0,0,0,1,0,0,0,0,5.1,1502900,96025800,2677,1593000,0,7.1,23,136,Y,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
9/29/20,15,23,6,Marysville,0,0,0,0,0,1,0,0,0,6.7,1917700,222419000,10595,2420000,0,7.69,20.45,170,Y,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
9/29/20,6,5,2,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,2817,5850000,0,8,19.35,148,Y,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
9/29/20,11,10,64,Southerly,0,0,0,0,0,0,0,1,0,3.05,2479380,117635000,6938,105600000,0,7,19.8,236,Y,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
9/29/20,24,22,11,Zanesville,0,0,0,0,0,0,0,0,1,4.5,3026000,62280000,3450,3200000,0,7.7,,244,Y,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
10/4/20,90,88,22,Athens,1,0,0,0,0,0,0,0,0,23.45,2222400,89401200,24308,1679000,0,7.8,22,532,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/4/20,0,1,0,Circleville,0,1,0,0,0,0,0,0,0,23.4,711300,71730000,2543,1420000,0,7.51,20.4,276,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
10/4/20,13,14,87,Jackson_Pike,0,0,1,0,0,0,0,0,0,2.5,1738000,116414400,9840,67800000,0.21,6.9,21,245,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/4/20,14,23,6,Lancaster,0,0,0,1,0,0,0,0,0,3.3,2104000,18280000,933,4500000,0.48,7.1,20.85,291,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/4/20,11,10,2,Marietta,0,0,0,0,1,0,0,0,0,26.5,1224900,94624000,2798,1783000,0.05,7.1,24,188,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/4/20,32,28,7,Marysville,0,0,0,0,0,1,0,0,0,14.15,1685200,143836400,4100,3000000,0.18,7.725,18.75,200,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/4/20,10,13,6,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,4200,5350000,0.19,7.57,18.55,148,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/4/20,13,13,83,Southerly,0,0,0,0,0,0,0,1,0,3.05,2071250,129825000,4804,89200000,0.21,6.95,19.45,224,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
